waktu;keuntungan;kurs
01/01/2012;94616500;9074
01/02/2012;12266000;9005
01/03/2012;44482500;9112
01/04/2012;123060000;9188.950195
01/05/2012;18914500;9410
01/06/2012;57908000;9368
01/07/2012;83734000;9424.200195
01/08/2012;24397500;9514.799805
01/09/2012;131473000;9569.950195
01/10/2012;29389500;9586.299805
01/11/2012;43886000;9571.400391
01/12/2012;139697500;9612.450195
01/01/2013;22207500;9659.700195
01/02/2013;39010500;9657.299805
01/03/2013;147426500;9612.450195
01/04/2013;135996500;9691.5
01/05/2013;127078000;9778.200195
01/06/2013;19448000;9612.450195
01/07/2013;44319500;10244
01/08/2013;54090000;10895
01/09/2013;95597000;11552
01/10/2013;87981500;11147
01/11/2013;63932000;11625
01/12/2013;141601500;12217
01/01/2014;77685500;12143
01/02/2014;20589000;11601
01/03/2014;6648000;11305
01/04/2014;116886000;11515
01/05/2014;40993000;1.169591
01/06/2014;57997500;12020
01/07/2014;74356500;11561
01/08/2014;26847500;1.17096
01/09/2014;117879500;12132
01/10/2014;28934000;12150
01/11/2014;56405500;1.219512
01/12/2014;148849500;12420
01/01/2015;62940500;1.278772
01/02/2015;41908500;1.30039
01/03/2015;60402000;13087
01/04/2015;15161500;12915
01/05/2015;38407500;13165
01/06/2015;54485000;13322
01/07/2015;56438000;13492
01/08/2015;140238500;13910
01/09/2015;60522000;14680
01/10/2015;128044500;1.37931
01/11/2015;124258500;13638
01/12/2015;149319500;13845
01/01/2016;83892000;1.410437
01/02/2016;18854500;13425
01/03/2016;61295000;13240
01/04/2016;80427000;1.321004
01/05/2016;95220500;13631
01/06/2016;41759500;13139
01/07/2016;27655000;1.312336
01/08/2016;68377500;13283
01/09/2016;147687000;13003
01/10/2016;39575000;13063
01/11/2016;13284500;13502
01/12/2016;149734500;13518
01/01/2017;53269500;13338
01/02/2017;104151500;13339
01/03/2017;92288500;13299
01/04/2017;41276000;13322
01/05/2017;67237500;13319
01/06/2017;114216000;13278
01/07/2017;75530000;13320
01/08/2017;95991000;13334
01/09/2017;52274000;1.347709
01/10/2017;15434500;13574
01/11/2017;59985000;13504
01/12/2017;144647000;13477
01/01/2018;29513000;13421
01/02/2018;62862500;13694
01/03/2018;57202000;13736
01/04/2018;87949500;13870
01/05/2018;96370500;13977
01/06/2018;55647000;14350
01/07/2018;80383000;14403
01/08/2018;68311000;14751
01/09/2018;68390500;14890
01/10/2018;58336500;15273.099609
01/11/2018;77647500;14356
01/12/2018;142150000;14553
01/01/2019;81489500;14033
01/02/2019;10127000;14015
01/03/2019;63231000;14233
01/04/2019;69729500;14191
01/05/2019;86537000;14401
01/06/2019;23379000;14184.5
01/07/2019;125912500;14066.400391
01/08/2019;16814500;14231
01/09/2019;36407000;14158
01/10/2019;38753000;14060
01/11/2019;73301500;14081.666992
01/12/2019;145733500;13919
01/01/2020;116609000;13643.180664
01/02/2020;51696000;14311.5
01/03/2020;134995000;16346.961914
01/04/2020;120808000;15234.636719
01/05/2020;143465500;14639.599609
01/06/2020;69915000;14470.200195
01/07/2020;21069000;14486.668945
01/08/2020;22751000;14618
01/09/2020;70090000;14910
01/10/2020;62621000;14585.021484
01/11/2020;54894000;14061.644531
01/12/2020;149065000;13832.55957
01/01/2021;17292000;14023
01/02/2021;124617500;14332.400391
01/03/2021;71775000;14605
01/04/2021;17737500;14439.700195
01/05/2021;93222000;14278
01/06/2021;74871000;14629.099609
01/07/2021;42845000;14419.700195
01/08/2021;10730500;14362
01/09/2021;79428000;14385
01/10/2021;23750000;14228.5
01/11/2021;51213500;14377
01/12/2021;146219000;14380
